2FISLXP4GU,[2, 8],,,,
2FSP2IXLGU,[25,11, 3],,,
2G06BUSPFE,[31, 2],,,,
2G331BLSUI,[0],,,,,
2GB011U2FE,[0],,,,,
2I27P7LXSU,[26,5, 0],,,
2L3F1UX1BI,[0],,,,,
2L6X4BP4GU,[10, 0],,,,
2L7GXUB7SI,[0,3, 0],,,
2L7SX8P1BI,[0],,,,,
2LB64U6PSI,[0],,,,,
2LB6X16PSI,[2,0, 2],,,
2LBGX16PSI,[0],,,,,
2LI16BP4GU,[0],,,,,
2LPUX7B7SI,[21,19,12, 18],,
2LU3X7B7SI,[2],,,,,
2LU7X16PSG,[14,1, 0],,,
2P491GLXSU,[0,17, 14],,,
2P81LUX1BI,[0],,,,,
2SF2I2XLGU,[0, 18],,,,
2SLX4BP4GU,[0],,,,,
3002BI4UFE,[0],,,,,
314SBULFXI,[2, 8],,,,
31I16BP4GU,[18,0,18, 17],,
31U31S13PI,[9,17, 0],,,
31U6X16PSI,[9,0, 2],,,
31X11PSFBI,[0],,,,,
3291LUX13I,[9,24,0, 2],,
32I5GBU1FE,[0, 2],,,,
32L64U6PSI,[0],,,,,
32U8FBGLXI,[2],,,,,
340UX6LFPI,[0],,,,,
341IS1B4GU,[0],,,,,
34F4XUB7SI,[0],,,,,
34FUSP81BI,[0],,,,,
34FUX7B7SI,[10,0, 3],,,
34P343ULXI,[2],,,,,
354IS1B4GU,[],,,,,
35B6FG6LPI,[0],,,,,
35GB4U6PSI,[0],,,,,
373IS1B4GU,[3, 2],,,,
37SI66P4GU,[2,14,2,0,19, 0]
37SX233LBI,[0],,,,,
38894XBLUI,[3],,,,,
389SX8P1BI,[14,31, 0],,,
38FUSP81BI,[0],,,,,
38LPFSXB1I,[0],,,,,
38PLX7B7SI,[0],,,,,
38U1G2XLBI,[4],,,,,
38X1BI4UFE,[2,0, 2],,,
39PLX7B7SI,[4, 3],,,,
39ULX7B7SI,[3],,,,,
3BFI66P4GU,[3,36,26, 3],,
3F663U6PSI,[0],,,,,
3FL4XUB7SI,[0],,,,,
3G464U6PSI,[0,2, 0],,,
3GF74U6PSI,[0, 3],,,,
3GSPU92LXI,[2],,,,,
3I24LXP4GU,[25],,,,,
3I4F51B4GU,[8, 0],,,,
3IL84X1BSU,[0],,,,,
3IS51FB4GU,[0, 17],,,,
3L9UX16PSI,[17, 32],,,,
3LB64U6PSI,[2, 0],,,,
3P8I2BXLGU,[9, 0],,,,
3PIS12XLGU,[18, 0],,,,
3S2X1G6LPI,[0],,,,,
3S6P2IXLGU,[2, 0],,,,
3U1XGBS1LI,[0],,,,,
3UG96XPLBI,[0, 2],,,,
3XBG37LSUI,[0],,,,,
3XFUSP81BI,[31, 11],,,,
3XG11PSFBI,[17],,,,,
40451FB4GU,[0],,,,,
40FI66P4GU,[0,24, 2],,,
