Truck ID,Cluster Number,Count Occurence
 38LPFSXB1I,0,7
 38PLX7B7SI,0,3
 38U1G2XLBI,4,2
 38X1BI4UFE,0,1
 38X1BI4UFE,2,5
 39PLX7B7SI,3,1
 39PLX7B7SI,4,2
 39ULX7B7SI,3,5
 3BFI66P4GU,26,1
 3BFI66P4GU,3,4
 3BFI66P4GU,36,1
 3F663U6PSI,0,2
 3FL4XUB7SI,0,6
 3G464U6PSI,0,4
 3G464U6PSI,2,1
 3GF74U6PSI,0,6
 3GF74U6PSI,3,1
 3GSPU92LXI,2,10
 3I24LXP4GU,25,1
 3I4F51B4GU,0,1
 3I4F51B4GU,8,4
 3IL84X1BSU,0,2
 3IS51FB4GU,0,2
 3IS51FB4GU,17,1
 3L9UX16PSI,17,1
 3L9UX16PSI,32,4
 3LB64U6PSI,0,3
 3LB64U6PSI,2,2
 3P8I2BXLGU,0,5
 3P8I2BXLGU,9,1
 3PIS12XLGU,0,6
 3PIS12XLGU,18,2
 3S2X1G6LPI,0,7
 3S6P2IXLGU,0,2
 3S6P2IXLGU,2,8
 3U1XGBS1LI,0,1
 3UG96XPLBI,0,5
 3UG96XPLBI,2,3
 3XBG37LSUI,0,2
 3XFUSP81BI,11,1
 3XFUSP81BI,31,4
 3XG11PSFBI,17,3
 40451FB4GU,0,4
 40FI66P4GU,0,5
 40FI66P4GU,2,1
 40FI66P4GU,24,1
 40U1G2P1FE,0,5
 40U1G2P1FE,2,3
 41151FB4GU,3,2
 41214GLXSU,0,1
 41214GLXSU,18,1
 415F9IXLGU,13,1
 415F9IXLGU,19,1
 415F9IXLGU,2,3
 415X6BP4GU,20,1
 417LS6P4GU,0,6
 41F1S6P4GU,0,4
 41F1S6P4GU,3,7
 41FX4U6PSI,3,3
 41GX4U6PSI,0,4
 422S12XLGU,0,5
 427B94LXSU,0,5
 427B94LXSU,15,1
 427B94LXSU,31,2
 427B94LXSU,4,1
 42LXS6P4GU,0,1
 42LXS6P4GU,18,3
 42LXS6P4GU,9,2
 43111443UI,0,3
 43111443UI,17,1
 43111443UI,24,1
 435I66P4GU,14,2
 435I66P4GU,15,5
 435I66P4GU,7,2
 43IX1SP4GU,0,5
 43IX1SP4GU,3,12
 442GP0U2FE,0,5
 44471SP4GU,0,2
 44471SP4GU,3,2
 444XS6P4GU,11,1
 444XS6P4GU,18,2
 444XS6P4GU,3,15
 447G7US3LI,0,7
 447G7US3LI,30,1
 44BFI2XLGU,0,8
 44BFI2XLGU,7,1
 44P74US3FI,0,3
 44PS4U2LXI,0,9
 44PS4U2LXI,2,1
 44S6LXP4GU,0,3
 44S6LXP4GU,11,3
 44S6LXP4GU,2,1
 44SPU92LXI,0,13
 44XIFSP4GU,0,6
 44XIFSP4GU,5,1
 452152XLGU,0,10
 4551X6P4GU,0,6
 4556P1B4GU,0,3
 45FSLXP4GU,0,1
 45X51FB4GU,0,3
 45X51FB4GU,18,4
 45XU32GLPI,0,1
 45XU32GLPI,19,1
 461LP1FBUI,10,3
 461LP1FBUI,18,6
 461LP1FBUI,19,2
 464X4BP4GU,0,15
 46F91XUPBI,0,5
 46F91XUPBI,17,1
 46F91XUPBI,3,1
 46S44BP4GU,0,1
 46S44BP4GU,18,1
 46S44BP4GU,8,1
 46SU32GLPI,0,5
 46SU32GLPI,14,6
 46SU32GLPI,8,1
 47BI1SP4GU,0,2
 47BI1SP4GU,3,4
 47S11IXLGU,0,6
 47S9X6P4GU,0,2
 47S9X6P4GU,3,2
 481F51B4GU,0,2
 481F51B4GU,14,2
 484X51B4GU,0,2
 484X51B4GU,9,7
 4854S1B4GU,0,2
 4854S1B4GU,19,2
 489X51B4GU,0,6
 489X51B4GU,19,1
 489X51B4GU,3,1
 48BSU3LFPI,15,4
 48BSU3LFPI,2,3
 48I01FB4GU,3,1
 49BXF443UI,0,2
 49BXF443UI,17,3
 49BXF443UI,24,1
 49U6X16PSI,0,2
 49U6X16PSI,2,3
 49U6X16PSI,9,2
 4B1S12XLGU,11,1
 4B1S12XLGU,3,1
 4B1S12XLGU,30,1
 4B3S4IXLGU,0,3
 4B3S4IXLGU,3,1
 4B717USPFE,0,1
 4B747US3LI,21,2
 4F164U6PSI,0,2
 4F164U6PSI,2,1
 4F164U6PSI,28,1
 4F1PS1B4GU,0,10
 4F24LXP4GU,0,1
 4F24LXP4GU,17,1
 4F24LXP4GU,3,1
 4F374U6PSI,0,4
 4F374U6PSI,17,1
 4F374U6PSI,2,3
 4F51X6P4GU,0,1
 4F51X6P4GU,5,1
 4F51X6P4GU,8,1
 4FB24U3LXI,0,10
 4FGUX16PSI,10,5
 4FGUX16PSI,15,1
 4FGUX16PSI,8,4
 4FP5S1B4GU,0,4
 4G41B1ULXI,0,3
 4G4UX16PSI,0,6
 4I1X51B4GU,0,1
 4I416BP4GU,0,3
 4I416BP4GU,2,3
 4I416BP4GU,30,5
 4I416BP4GU,32,1
 4I4F51B4GU,8,1
 4L063UBFPI,0,6
 4L063UBFPI,36,4
 4L441XUPBI,0,5
 4L4I66PUGF,0,2
 4L4I66PUGF,12,6
 4LF4XUB7SI,19,2
 4LF4XUB7SI,3,1
 4P8F51B4GU,0,10
 4P8F51B4GU,17,1
 4P933UX1BI,0,2
 4P933UX1BI,10,1
 4P933UX1BI,2,2
 4P933UX1BI,3,1
 4PF4XUB7SI,0,1
 4PF4XUB7SI,15,1
 4S24LXP4GU,0,2
 4S54LXP4GU,0,4
 4S54LXP4GU,33,1
 4SF466P4GU,10,1
 4SF466P4GU,2,3
 4SF466P4GU,3,4
 4X151FB4GU,0,2
 4X151FB4GU,18,1
 4X15GU12LB,9,3
 4X6PS1B4GU,0,5
 4X75LSP4GU,0,3
 4X75LSP4GU,3,1
 50FP2IXLGU,0,3
 50FP2IXLGU,2,1
 50I01FB4GU,8,3
 50U5FBGLXI,0,4
 513G4U6PSI,26,4
 513G4U6PSI,7,7
 516G4U6PSI,0,2
 516G4U6PSI,3,2
 51B7S6P4GU,0,11
 51F466P4GU,0,6
 51F466P4GU,2,3
 51GS4U22FE,2,1
 51GS4U22FE,24,1
 51GS4U22FE,6,1
 51GUX16PSI,0,1
 51GUX16PSI,1,2
 51GUX16PSI,8,4
 51L71SP4GU,0,2
 51P4SIXLGU,0,4
 51P4SIXLGU,8,1
 51U72SGLBI,0,1
 51U72SGLBI,14,1
 525UFG6LPI,0,6
 52I0G6SPFE,0,2
 52I0G6SPFE,2,3
 52I0G6SPFE,9,3
 547LFSP4GU,0,5
 547LFSP4GU,3,1
 547LFSP4GU,36,1
 54S451B4GU,0,1
 54S451B4GU,18,2
 54S451B4GU,31,1
 54S451B4GU,34,1
 54S51FB4GU,0,3
 54S51FB4GU,26,1
 54S51FB4GU,8,2
 5514LXP4GU,0,2
 5514LXP4GU,17,1
 5514LXP4GU,3,3
 551G4U6PSI,0,4
 551G4U6PSI,1,1
 551G4U6PSI,17,1
 5522I2XLGU,35,1
 5522I2XLGU,8,1
 554IS1B4GU,0,2
 554IS1B4GU,6,1
 554IS1B4GU,8,5
 55LX4BP4GU,0,1
 56F466P4GU,3,2
 56PF51B4GU,10,5
 56PF51B4GU,19,1
 56PF51B4GU,3,2
 581X4BP4GU,0,1
 581X4BP4GU,2,4
